75.51	96.08	96.08	94.23	94.23
90.70	97.73	97.73	82.69	82.69
64.71	100.00	100.00	98.08	98.08
78.43	100.00	100.00	98.08	98.08
74.51	100.00	100.00	98.08	98.08
66.67	100.00	100.00	98.08	98.08
81.69	55.47	55.47	93.42	93.42
91.55	55.47	55.47	93.42	93.42
77.46	55.47	55.47	93.42	93.42
83.10	55.47	55.47	93.42	93.42
80.28	55.47	55.47	93.42	93.42
78.87	55.47	55.47	93.42	93.42
34.44	97.66	97.66	98.93	98.93
66.40	100.00	100.00	99.92	99.92
31.33	98.20	98.20	99.84	99.84
36.63	98.70	98.70	98.68	98.68
34.64	99.35	99.35	99.10	99.10
31.38	99.92	99.92	99.26	99.26
47.48	94.84	89.85	83.74	94.39
47.98	95.89	95.89	57.33	57.33
43.22	99.72	99.72	88.18	88.18
47.52	92.90	90.59	83.35	95.58
46.40	94.89	90.57	83.23	93.74
46.43	95.32	90.92	83.61	94.38
45.42	86.43	86.43	31.57	31.57
68.51	88.83	88.83	36.96	36.96
44.57	78.78	78.78	29.63	29.63
45.54	84.18	84.18	33.84	33.84
37.31	89.78	89.78	34.38	34.38
35.52	76.05	76.05	28.88	28.88
49.09	75.69	75.69	77.28	77.28
88.62	100.00	100.00	99.80	99.80
44.16	91.60	91.60	95.13	95.13
48.97	74.00	74.00	78.70	78.70
41.98	92.19	92.19	94.93	94.93
45.10	69.13	69.13	71.81	71.81
41.31	97.74	97.74	75.32	75.32
81.04	99.44	99.44	76.72	76.72
35.62	74.44	100.00	58.73	100.00
34.40	98.87	100.00	75.75	100.00
45.17	74.32	74.32	58.41	58.41
46.36	72.74	72.74	58.51	58.51
59.46	100.00	100.00	99.46	99.46
88.65	100.00	100.00	99.46	99.46
53.51	100.00	100.00	99.46	99.46
63.24	100.00	100.00	99.46	99.46
47.46	94.62	94.62	95.16	95.16
38.38	96.86	96.86	94.09	94.09
67.19	99.48	99.48	98.97	98.97
94.30	100.00	100.00	99.48	99.48
61.26	98.96	98.96	98.45	98.45
59.49	98.48	98.48	98.45	98.45
66.15	100.00	100.00	98.97	98.97
63.16	97.37	97.37	97.94	97.94
47.93	86.67	86.67	82.84	82.84
87.26	98.74	98.74	77.34	77.34
47.34	80.48	80.48	82.35	82.35
43.82	98.34	98.34	87.19	87.19
74.38	100.00	100.00	98.53	98.53
69.42	100.00	100.00	98.52	98.52
60.10	90.41	90.41	98.51	98.51
80.77	92.04	92.04	26.88	26.88
63.08	92.79	92.79	96.52	96.52
49.47	96.91	96.91	93.53	93.53
63.25	78.67	78.67	81.59	81.59
48.96	89.52	89.52	93.03	93.03
73.04	96.63	96.63	97.61	97.61
91.83	100.00	100.00	99.52	99.52
69.42	97.56	97.56	97.61	97.61
71.43	96.15	96.15	97.60	97.60
71.64	96.02	96.02	96.63	96.63
67.61	81.86	81.86	83.25	83.25
70.24	96.34	96.34	95.20	95.20
80.19	95.13	95.13	96.25	96.25
68.04	98.79	98.79	98.35	98.35
72.10	94.50	94.50	92.94	92.94
63.79	95.63	95.63	95.35	95.35
62.71	95.45	95.45	96.25	96.25
65.50	86.88	86.88	88.07	88.07
82.20	98.95	98.95	96.91	96.91
67.85	89.80	89.80	86.75	86.75
67.92	85.86	85.86	85.71	85.71
61.16	92.43	92.43	89.84	89.84
64.60	90.52	90.52	87.63	87.63
37.11	93.28	93.28	92.82	92.82
76.31	99.16	99.16	98.82	98.82
40.05	95.62	95.62	92.59	92.59
39.76	99.14	99.14	99.06	99.06
39.79	88.58	88.58	72.47	72.47
34.91	93.65	93.65	87.01	87.01
38.52	89.22	89.22	85.57	85.57
65.38	90.26	90.26	95.30	95.30
31.15	84.38	84.38	79.80	79.80
40.50	80.31	80.31	84.51	84.51
42.94	55.67	55.67	52.68	52.68
35.13	97.81	97.81	88.26	88.26
45.16	82.03	82.03	72.73	72.73
81.96	88.73	88.73	84.44	84.44
39.83	91.10	91.10	95.78	95.78
52.89	96.05	96.05	94.94	94.94
47.35	96.48	96.48	73.84	73.84
41.22	87.85	87.85	83.50	83.50
67.56	82.72	82.72	82.12	82.12
85.40	100.00	100.00	99.64	99.64
49.51	74.37	74.37	75.18	75.18
59.63	96.75	96.75	97.08	97.08
55.37	90.26	90.26	88.32	88.32
53.23	97.32	97.32	95.62	95.62
50.49	91.96	91.96	87.18	87.18
90.91	99.14	99.14	98.72	98.72
39.73	88.70	88.70	95.73	95.73
52.76	83.26	83.26	85.04	85.04
52.15	92.48	92.48	87.61	87.61
48.02	93.49	93.49	85.90	85.90
66.49	66.67	66.67	54.02	54.02
82.29	98.91	98.91	77.30	77.30
49.79	82.04	82.04	62.07	62.07
67.80	77.95	77.95	58.91	58.91
58.22	78.31	78.31	45.13	45.13
54.27	81.53	81.53	64.94	64.94
62.55	99.59	99.59	99.58	99.58
96.20	100.00	100.00	99.58	99.58
59.01	89.52	89.52	92.86	92.86
69.33	98.76	98.76	98.32	98.32
66.80	97.57	97.57	99.16	99.16
66.22	85.38	85.38	91.60	91.60
44.21	94.53	94.53	92.20	92.20
87.44	100.00	100.00	97.07	97.07
32.64	95.54	95.54	92.20	92.20
46.52	93.03	93.03	90.73	90.73
41.36	98.45	98.45	92.20	92.20
38.74	96.46	96.46	92.20	92.20
45.16	91.06	91.06	96.43	96.43
84.75	100.00	100.00	99.55	99.55
40.54	84.88	84.88	98.21	98.21
50.00	87.97	87.97	96.43	96.43
37.66	99.11	99.11	97.77	97.77
41.63	91.70	91.70	96.43	96.43
51.03	94.63	94.63	72.83	72.83
92.27	94.76	94.76	68.30	68.30
44.62	95.59	95.59	73.58	73.58
54.12	94.63	94.63	72.83	72.83
57.45	92.16	92.16	70.94	70.94
51.05	92.20	92.20	71.32	71.32
63.25	99.57	99.57	99.15	99.15
93.19	100.00	100.00	99.58	99.58
56.36	100.00	100.00	99.15	99.15
66.24	99.57	99.57	99.15	99.15
60.33	98.78	98.78	97.46	97.46
59.84	97.60	97.60	96.19	96.19
56.91	100.00	100.00	99.60	99.60
87.40	100.00	100.00	99.60	99.60
43.90	100.00	100.00	99.60	99.60
61.79	100.00	100.00	99.60	99.60
